Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Los Angeles Lakers,11,8,3,1.2,3.9,1.2,2.4,50.0,0.3,0.8,33.3,1.3,1.4,93.3,0.5,0.5,0.9,0.5,0.0,0.3,0.1,0.5,1.9,103.48
Detroit Pistons,6,4,2,1.7,4.2,0.5,2.7,18.8,0.0,0.5,0.0,3.2,3.8,82.6,0.3,1.3,1.7,0.2,0.2,0.0,0.2,1.2,0.3,109.6
Cleveland Cavaliers,6,3,3,1.9,3.8,1.3,3.3,40.0,0.3,0.8,40.0,0.8,0.8,100.0,0.3,1.2,1.5,0.8,0.2,0.3,0.2,1.0,0.3,93.08
San Antonio Spurs,6,3,3,1.6,3.7,1.2,3.0,38.9,0.2,0.8,20.0,1.2,1.5,77.8,0.5,0.7,1.2,0.3,0.3,0.3,0.2,0.8,0.0,109.32
Utah Jazz,6,3,3,1.1,2.3,0.7,2.2,30.8,0.0,0.7,0.0,1.0,1.3,75.0,0.8,0.5,1.3,0.3,0.3,0.0,0.0,1.2,-1.3,115.23
Boston Celtics,11,5,6,1.3,3.2,0.7,1.5,47.1,0.1,0.3,33.3,1.6,2.0,81.8,0.1,0.9,1.0,0.4,0.3,0.0,0.0,1.2,0.1,103.55
Orlando Magic,5,2,3,2.1,4.2,1.6,4.4,36.4,0.4,1.2,33.3,0.6,0.8,75.0,1.2,1.0,2.2,0.0,0.6,0.4,0.2,2.2,-0.2,103.45
Houston Rockets,3,1,2,0.9,1.7,0.3,1.0,33.3,0.0,0.0,0.0,1.0,1.3,75.0,0.0,1.0,1.0,0.0,0.3,0.7,0.7,1.7,-1.0,140.15
Washington Wizards,3,1,2,1.9,2.3,0.7,3.0,22.2,0.0,0.7,0.0,1.0,1.0,100.0,0.7,1.3,2.0,0.0,0.3,0.0,0.0,0.7,-2.0,87.7
