Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Cleveland Cavaliers,5,4,1,1.6,2.6,1.0,3.6,27.8,0.4,1.2,33.3,0.2,0.4,50.0,0.8,1.0,1.8,0.2,0.4,0.0,0.6,0.2,0.8,92.54
Toronto Raptors,8,6,2,1.6,4.6,1.4,3.0,45.8,0.4,0.8,50.0,1.5,1.9,80.0,0.6,1.3,1.9,0.1,0.4,0.3,0.0,0.5,2.5,101.81
Charlotte Hornets,3,2,1,2.1,2.3,0.7,3.7,18.2,0.3,1.3,25.0,0.7,0.7,100.0,0.7,1.0,1.7,0.3,0.0,0.3,0.7,0.3,-1.0,81.03
Golden State Warriors,6,3,3,2.7,4.5,1.7,5.2,32.3,0.7,2.3,28.6,0.5,0.5,100.0,0.7,2.2,2.8,1.0,0.5,0.7,0.5,1.5,0.2,97.54
Oklahoma City Thunder,6,3,3,2.4,4.0,1.2,3.8,30.4,0.2,0.7,25.0,1.5,1.5,100.0,1.2,2.3,3.5,0.5,1.7,0.0,0.7,1.2,-1.2,103.99
Portland Trail Blazers,4,2,2,2.0,6.0,1.8,3.8,46.7,0.5,1.0,50.0,2.0,3.3,61.5,0.5,1.8,2.3,1.0,0.3,0.3,0.0,1.8,2.8,109.2
Miami Heat,8,3,5,2.1,3.4,1.1,3.3,34.6,0.4,1.1,33.3,0.8,1.0,75.0,0.4,1.5,1.9,0.3,0.5,0.0,0.3,1.3,-1.1,94.07
Atlanta Hawks,3,1,2,2.2,6.3,2.3,4.3,53.8,0.3,0.7,50.0,1.3,1.3,100.0,0.3,2.0,2.3,1.0,0.3,0.7,0.3,0.3,3.0,121.88
San Antonio Spurs,3,1,2,1.9,4.3,0.7,3.3,20.0,0.0,0.7,0.0,3.0,3.7,81.8,0.7,0.3,1.0,0.0,0.0,1.3,0.0,1.3,-1.3,115.0
