Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Atlanta Hawks,7,6,1,1.8,6.3,1.3,2.0,64.3,0.6,0.7,80.0,3.1,3.1,100.0,0.1,1.7,1.9,0.3,0.6,0.0,0.1,1.3,2.1,115.34
Milwaukee Bucks,7,5,2,2.5,6.0,1.9,4.1,44.8,0.1,0.6,25.0,2.1,3.9,55.6,0.7,1.6,2.3,0.9,0.4,0.7,0.3,1.1,0.7,103.01
Phoenix Suns,6,3,3,1.6,4.2,1.3,2.7,50.0,0.2,0.3,50.0,1.3,1.5,88.9,0.2,1.2,1.3,0.8,0.7,0.0,0.0,2.0,0.2,107.96
Brooklyn Nets,3,1,2,2.9,7.0,2.3,5.0,46.7,0.7,1.7,40.0,1.7,2.0,83.3,0.0,1.3,1.3,1.3,0.3,0.3,0.3,2.3,-0.7,102.58
Philadelphia 76ers,6,1,5,1.6,2.7,0.5,2.5,20.0,0.2,1.0,16.7,1.5,2.5,60.0,0.5,0.7,1.2,0.3,0.0,0.0,0.2,1.5,-3.0,113.95
LA Clippers,6,0,6,1.2,1.8,0.3,1.3,25.0,0.0,0.7,0.0,1.2,2.5,46.7,0.3,0.8,1.2,0.0,0.0,0.2,0.3,1.3,-2.5,123.42
