Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Jaylen Brown,BOS,23,9,4,5,1.6,0.6,0.2,0.8,28.6,0.0,0.3,0.0,0.1,0.1,100,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.2,0.1
Jayson Tatum,BOS,22,9,4,5,1.6,0.4,0.0,0.6,0.0,0.0,0.2,0.0,0.4,0.7,66.7,0.1,0.1,0.2,0.2,0.1,0.0,0.1,0.1,0.1
Kemba Walker,BOS,30,9,4,5,1.6,1.2,0.4,0.9,50.0,0.1,0.2,50.0,0.2,0.2,100,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.4
Marcus Smart,BOS,26,9,4,5,1.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.2,0.2,0.2,0.2
Daniel Theis,BOS,28,8,3,5,1.3,0.8,0.4,0.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Butler,MIA,30,8,6,2,1.6,2.3,0.4,0.9,42.9,0.1,0.4,33.3,1.4,1.6,84.6,0.1,0.3,0.4,0.1,0.3,0.0,0.0,0.1,1.4
Tyler Herro,MIA,20,8,6,2,1.5,0.8,0.1,0.1,100,0.1,0.1,100,0.4,0.4,100,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,1.9
Bam Adebayo,MIA,22,7,5,2,1.8,0.6,0.1,0.1,100,0.0,0.0,0.0,0.3,0.3,100,0.6,0.1,0.7,0.1,0.0,0.0,0.0,0.0,1.6
Jamal Murray,DEN,23,7,4,3,1.4,1.7,0.7,1.3,55.6,0.3,0.4,66.7,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.1,-1.3
Jerami Grant,DEN,26,7,4,3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-1.3
Nikola Jokic,DEN,25,7,4,3,1.3,1.4,0.4,0.7,60.0,0.0,0.1,0.0,0.6,0.6,100,0.3,0.1,0.4,0.1,0.0,0.0,0.0,0.1,-1.0
Goran Dragic,MIA,34,6,5,1,1.5,1.2,0.3,1.0,33.3,0.2,0.7,25.0,0.3,0.3,100,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,2.3
Jae Crowder,MIA,29,6,4,2,1.9,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.7
Andre Iguodala,MIA,36,5,4,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,LAL,27,5,3,2,1.2,1.4,0.6,0.6,100,0.2,0.2,100,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,-0.2
Fred VanVleet,TOR,26,5,3,2,1.4,0.4,0.2,1.2,16.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,-0.6
Kentavious Caldwell-Pope,LAL,27,5,3,2,1.1,0.6,0.2,1.2,16.7,0.2,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4
Kyle Lowry,TOR,34,5,3,2,1.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,100,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.4,-0.2
LeBron James,LAL,35,5,3,2,1.2,1.4,0.4,0.8,50.0,0.0,0.2,0.0,0.6,0.6,100,0.2,0.2,0.4,0.4,0.0,0.0,0.0,0.0,-0.2
OG Anunoby,TOR,22,5,3,2,1.4,0.6,0.2,0.2,100,0.2,0.2,100,0.0,0.0,0.0,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.2,-0.6
