Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Allan Houston,NYK,29,11,7,4,2.2,0.8,0.2,0.5,40.0,0.0,0.0,0.0,0.5,0.5,83.3,0.0,0.1,0.1,0.3,0.1,0.0,0.0,0.2,0.3
Jalen Rose,IND,27,11,5,6,1.6,0.5,0.2,0.5,40.0,0.0,0.0,0.0,0.1,0.4,25.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.5
Latrell Sprewell,NYK,29,11,7,4,2.3,1.1,0.1,0.7,12.5,0.0,0.0,0.0,0.9,1.0,90.9,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.2,0.3
Chris Childs,NYK,32,10,7,3,1.8,0.4,0.0,0.3,0.0,0.0,0.1,0.0,0.4,0.4,100.0,0.0,0.4,0.4,0.0,0.1,0.0,0.0,0.1,0.8
Reggie Miller,IND,34,9,5,4,1.6,1.2,0.3,0.7,50.0,0.1,0.2,50.0,0.4,0.6,80.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,1.0
Charlie Ward,NYK,29,8,5,3,0.6,0.3,0.1,0.3,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.3
Dale Davis,IND,31,8,4,4,1.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.8,1.1,0.1,0.0,0.0,0.3,0.6,0.9
Larry Johnson,NYK,31,8,5,3,1.8,1.3,0.3,0.5,50.0,0.3,0.5,50.0,0.5,0.5,100.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,-0.1
Patrick Ewing,NYK,37,8,5,3,2.7,1.5,0.5,0.6,80.0,0.0,0.0,0.0,0.5,0.5,100.0,0.0,1.1,1.1,0.0,0.1,0.1,0.0,0.4,1.0
Robert Horry,LAL,29,8,7,1,1.8,0.4,0.1,0.3,50.0,0.0,0.1,0.0,0.1,0.3,50.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.3,1.6
