Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Derek Fisher,LAL,35,10,8,2,1.6,0.5,0.2,0.3,66.7,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.3,1.5
Kobe Bryant,LAL,31,10,8,2,1.8,2.6,0.8,1.4,57.1,0.1,0.4,25.0,0.9,1.0,90.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,2.1
Metta World Peace,LAL,30,10,8,2,1.8,0.5,0.2,0.7,28.6,0.1,0.5,20.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.1,1.9
Pau Gasol,LAL,29,10,8,2,1.8,0.8,0.2,0.4,50.0,0.0,0.0,0.0,0.4,0.5,80.0,0.4,0.4,0.8,0.0,0.1,0.0,0.0,0.2,2.1
Kevin Garnett,BOS,34,9,5,4,1.6,0.7,0.3,0.6,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.2,0.3
Lamar Odom,LAL,30,9,8,1,1.9,0.9,0.3,0.7,50.0,0.1,0.1,100.0,0.1,0.1,100.0,0.2,0.4,0.7,0.1,0.0,0.0,0.2,0.1,2.8
Paul Pierce,BOS,32,9,5,4,1.5,1.4,0.4,1.4,30.8,0.1,0.4,25.0,0.4,0.4,100.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0.3
Rajon Rondo,BOS,24,9,5,4,1.6,0.4,0.2,0.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.4,0.0,0.1,0.1,0.0,0.3
Ray Allen,BOS,34,9,5,4,1.6,0.6,0.1,0.8,14.3,0.1,0.4,25.0,0.2,0.2,100.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.3
Amar'e Stoudemire,PHX,27,4,1,3,1.1,0.5,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.8,-2.0
Antawn Jamison,CLE,34,4,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Grant Hill,PHX,37,4,1,3,1.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
JJ Redick,ORL,26,4,2,2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.5,-0.3
Jameer Nelson,ORL,28,4,2,2,2.0,1.3,0.5,1.8,28.6,0.0,0.5,0.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,-1.0
Jason Richardson,PHX,29,4,1,3,1.2,0.8,0.3,0.5,50.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-2.3
Kendrick Perkins,BOS,25,4,3,1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.8,0.0,0.0,0.0,0.0,0.3,1.0
LeBron James,CLE,25,4,2,2,1.1,1.3,0.3,0.5,50.0,0.0,0.3,0.0,0.8,0.8,100.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,-0.5
Mo Williams,CLE,27,4,2,2,1.1,0.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,-0.3
Rashard Lewis,ORL,30,4,2,2,2.0,0.8,0.0,0.3,0.0,0.0,0.3,0.0,0.8,1.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
Steve Nash,PHX,36,4,1,3,1.2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.3,-2.3
Vince Carter,ORL,33,4,2,2,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.8,-1.3
Anderson Varejao,CLE,27,3,1,2,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,33.3,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.3,-1.0
Andrew Bynum,LAL,22,3,2,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3
CJ Miles,UTA,23,3,1,2,2.0,0.7,0.0,0.3,0.0,0.0,0.3,0.0,0.7,0.7,100.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3
Carlos Boozer,UTA,28,3,1,2,2.9,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,1.0,0.3,1.0,0.0,0.0,0.0,-1.7
Channing Frye,PHX,27,3,0,3,1.5,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.0,-3.3
