Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Oklahoma City Thunder,36,22,14,2.0,5.4,1.6,3.2,48.3,0.3,0.9,29.4,2.0,2.4,82.8,0.4,1.1,1.6,0.6,0.6,0.6,0.3,1.0,1.1,108.93
Brooklyn Nets,33,15,18,1.9,4.3,1.4,3.4,40.7,0.3,1.2,22.0,1.3,1.7,73.7,0.6,1.3,1.9,0.5,0.6,0.2,0.2,1.2,-0.4,112.89
Sacramento Kings,32,14,18,1.4,3.1,1.0,2.6,37.3,0.4,1.2,31.6,0.8,1.0,77.4,0.3,0.8,1.1,0.4,0.3,0.2,0.2,1.1,-0.9,110.32
Dallas Mavericks,30,11,19,1.7,2.8,0.8,3.2,26.0,0.4,1.9,19.3,0.7,1.3,56.4,0.4,1.4,1.8,0.4,0.5,0.1,0.3,1.2,-1.0,108.26
Miami Heat,30,16,14,1.7,3.1,0.8,2.7,30.9,0.3,1.2,21.6,1.2,1.8,67.9,0.4,1.1,1.5,0.4,0.5,0.1,0.3,1.1,-1.4,109.71
San Antonio Spurs,30,15,15,1.9,4.4,1.5,3.5,42.5,0.4,1.2,37.1,0.9,1.5,62.2,0.4,1.4,1.8,0.7,0.3,0.0,0.3,1.1,-0.1,107.08
Utah Jazz,30,19,11,1.6,4.7,1.5,3.0,48.4,0.5,1.3,42.1,1.2,1.5,80.0,0.4,1.4,1.8,0.7,0.3,0.2,0.2,0.8,1.4,111.43
Charlotte Hornets,29,15,14,1.8,4.7,1.3,2.5,54.2,0.6,1.3,44.7,1.4,2.0,72.4,0.4,1.0,1.4,0.7,0.7,0.2,0.0,0.8,0.8,101.82
Denver Nuggets,29,19,10,1.8,4.6,1.4,3.1,46.1,0.2,0.7,35.0,1.6,1.9,81.8,0.5,1.0,1.6,0.7,0.4,0.2,0.1,0.9,1.4,102.05
Indiana Pacers,29,18,11,2.2,4.9,1.5,3.6,41.9,0.4,1.4,30.0,1.5,1.8,84.3,0.5,1.3,1.8,0.7,0.8,0.3,0.4,1.1,1.2,99.65
New Orleans Pelicans,29,7,22,1.5,3.1,1.0,2.6,39.2,0.3,1.2,28.6,0.8,1.0,78.6,0.3,1.1,1.4,0.5,0.3,0.2,0.1,0.9,-0.7,103.35
Toronto Raptors,29,21,8,1.6,5.1,1.4,2.8,51.2,0.5,1.2,44.1,1.7,2.1,82.0,0.3,1.1,1.4,0.7,0.3,0.4,0.1,0.9,2.1,109.86
