Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Ben Wallace,DET,29,8,4,4,1.8,0.6,0.3,0.4,66.7,0.0,0.0,0.0,0.1,0.3,50.0,0.5,0.3,0.8,0.0,0.1,0.0,0.0,0.4,0.5
Chauncey Billups,DET,27,8,4,4,1.8,0.9,0.1,1.3,10.0,0.1,0.5,25.0,0.5,0.8,66.7,0.1,0.0,0.1,0.3,0.1,0.1,0.0,0.1,1.0
Rasheed Wallace,DET,29,8,4,4,1.8,0.6,0.3,0.9,28.6,0.0,0.1,0.0,0.1,0.1,100,0.3,0.4,0.6,0.0,0.1,0.0,0.1,0.3,0.8
Tayshaun Prince,DET,24,8,4,4,1.7,0.5,0.1,0.6,20.0,0.1,0.1,100,0.1,0.3,50.0,0.1,0.4,0.5,0.0,0.0,0.0,0.3,0.4,0.8
Chris Webber,SAC,31,7,4,3,1.4,0.6,0.1,0.4,33.3,0.0,0.1,0.0,0.3,0.7,40.0,0.1,0.1,0.3,0.0,0.1,0.0,0.0,0.1,-0.4
Doug Christie,SAC,34,7,4,3,1.4,0.7,0.1,0.7,20.0,0.1,0.4,33.3,0.3,0.6,50.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.7,-0.6
Mike Bibby,SAC,26,7,4,3,1.4,0.4,0.1,1.0,14.3,0.0,0.0,0.0,0.1,0.1,100,0.0,0.1,0.1,0.4,0.1,0.3,0.0,0.3,-0.6
Peja Stojakovic,SAC,27,7,4,3,1.4,0.4,0.1,0.1,100,0.1,0.1,100,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.7
Richard Hamilton,DET,26,7,4,3,1.7,1.3,0.4,0.9,50.0,0.0,0.1,0.0,0.4,0.4,100,0.1,0.3,0.4,0.4,0.0,0.0,0.0,0.3,1.3
Brad Miller,SAC,28,6,3,3,1.5,0.5,0.2,0.3,50.0,0.0,0.0,0.0,0.2,0.3,50.0,0.2,0.2,0.3,0.2,0.0,0.0,0.0,0.5,-0.7
Fred Hoiberg,MIN,31,6,5,1,0.7,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,100,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.2
Kevin Garnett,MIN,28,6,5,1,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,1.2
Latrell Sprewell,MIN,33,6,5,1,0.7,0.7,0.2,0.2,100,0.2,0.2,100,0.2,0.8,20.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.3,1.2
Ervin Johnson,MIN,36,5,4,1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
Jermaine O'Neal,IND,25,5,2,3,1.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2
Kobe Bryant,LAL,25,5,4,1,1.9,1.4,0.6,2.2,27.3,0.2,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.6
Reggie Miller,IND,38,5,2,3,1.6,1.0,0.2,0.4,50.0,0.2,0.2,100,0.4,0.6,66.7,0.0,0.6,0.6,0.2,0.0,0.2,0.0,0.0,0.2
Trenton Hassell,MIN,25,5,5,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6
Caron Butler,MIA,24,4,2,2,1.4,0.8,0.0,0.3,0.0,0.0,0.3,0.0,0.8,1.0,75.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,-0.5
Derek Fisher,LAL,29,4,3,1,1.2,0.5,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5,1.0
Dwyane Wade,MIA,22,4,2,2,1.6,1.3,0.5,0.5,100,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5
Eddie Jones,MIA,32,4,2,2,1.9,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.5,1.5,33.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,-0.5
Gary Payton,LAL,35,4,3,1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.5,0.0,0.3,0.0,0.0,-0.8
Jamaal Tinsley,IND,26,4,2,2,1.6,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,0.3,0.0,0.8,0.8
Jason Kidd,NJN,31,4,3,1,2.1,1.8,0.3,0.5,50.0,0.0,0.0,0.0,1.3,2.0,62.5,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,2.0
Karl Malone,LAL,40,4,4,0,2.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Kenyon Martin,NJN,26,4,3,1,1.5,0.8,0.3,0.5,50.0,0.0,0.0,0.0,0.3,0.8,33.3,0.0,0.8,0.8,0.0,0.0,0.3,0.0,0.5,1.3
Kerry Kittles,NJN,30,4,3,1,2.1,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.3,0.8,1.0,0.0,0.0,0.0,0.0,0.5,2.0
Lamar Odom,MIA,24,4,2,2,1.9,0.5,0.0,0.3,0.0,0.0,0.3,0.0,0.5,0.8,66.7,0.0,0.5,0.5,0.3,0.5,0.0,0.3,1.0,-0.5
Lucious Harris,NJN,33,4,3,1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Metta World Peace,IND,24,4,2,2,1.9,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.5
Richard Jefferson,NJN,24,4,3,1,2.1,1.3,0.3,0.8,33.3,0.0,0.0,0.0,0.8,1.0,75.0,0.3,0.5,0.8,0.0,0.5,0.0,0.5,0.0,2.0
Sam Cassell,MIN,34,4,3,1,0.9,1.8,0.5,0.8,66.7,0.0,0.3,0.0,0.8,1.0,75.0,0.0,0.8,0.8,0.3,0.0,0.0,0.0,0.3,2.3
Shaquille O'Neal,LAL,32,4,4,0,2.4,1.3,0.5,0.8,66.7,0.0,0.0,0.0,0.3,1.3,20.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.3,-0.8
Aaron Williams,NJN,32,3,3,0,1.4,0.7,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.3,2.0
Al Harrington,IND,24,3,1,2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-1.0
Anthony Peeler,SAC,34,3,3,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baron Davis,NOH,25,3,1,2,2.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,0.0,0.0,0.0,0.3,-1.0
Brian Grant,MIA,32,3,1,2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,-1.7
David Wesley,NOH,33,3,1,2,2.0,0.7,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,-1.0
Dirk Nowitzki,DAL,26,3,0,3,2.1,1.0,0.3,1.0,33.3,0.0,0.0,0.0,0.3,0.3,100,0.3,0.7,1.0,0.0,0.0,0.0,0.7,0.3,0.0
Jamaal Magloire,NOH,26,3,1,2,2.0,1.3,0.3,0.3,100,0.0,0.0,0.0,0.7,0.7,100,0.3,0.7,1.0,0.0,0.0,0.0,0.0,0.3,-0.7
Jeff Foster,IND,27,3,2,1,1.7,0.7,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.3
Kareem Rush,LAL,23,3,3,0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Lindsey Hunter,DET,33,3,1,2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Marquis Daniels,DAL,23,3,0,3,1.4,1.3,0.3,1.0,33.3,0.0,0.0,0.0,0.7,0.7,100,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-0.7
Michael Finley,DAL,31,3,0,3,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.3,0.0,0.3,0.0
P.J. Brown,NOH,34,3,1,2,2.0,0.7,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,-1.0
Rafer Alston,MIA,27,3,1,2,0.9,0.7,0.3,1.0,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3
Steve Nash,DAL,30,3,0,3,2.1,0.3,0.0,1.7,0.0,0.0,0.7,0.0,0.3,0.7,50.0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0
Anfernee Hardaway,NYK,32,2,0,2,1.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-6.0
Anthony Johnson,IND,29,2,1,1,0.7,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Walker,DAL,27,2,0,2,1.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5
